year,"Inflation, consumer prices (annual %)",Real interest rate (%),GDP growth (annual %),"Unemployment, total (% of total labor force)",Sandp_500_Historical_Annual_Returns
1972,3.27227825,0.88722919,5.25890736,5.599999905,15.63
1973,6.17776006,2.40973533,5.64572256,4.900000095,-17.37
1974,11.0548048,1.65106447,-0.5405517,5.599999905,-29.72
1975,9.14314687,-1.2814192,-0.2054561,8.5,31.55
1976,5.74481264,1.26689165,5.38813929,7.699999809,19.15
1977,6.501684,0.57506885,4.62415307,7.099999905,-11.5
1978,7.63096384,1.88990329,5.53530496,6.099999905,1.06
1979,11.2544711,4.03454769,3.16614531,5.800000191,12.31
1980,13.549202,5.71639048,-0.2567497,7.099999905,25.77
1981,10.3347153,8.5946198,2.53771931,7.599999905,-9.73
1982,6.131427,8.17734744,-1.8028874,9.699999809,14.76
1983,3.21243523,6.61816022,4.58391336,9.600000381,17.27
1984,4.30053548,8.14108811,7.23663315,7.5,1.4
1985,3.54564415,6.56332657,4.16965622,7.199999809,26.33
1986,1.89804772,6.19386027,3.46264597,7,14.62
1987,3.66456322,5.59223791,3.45925199,6.199999809,2.03
1988,4.07774111,5.5903822,4.17706129,5.5,12.4
1989,4.82700303,6.69068693,3.67264815,5.300000191,27.25
1990,5.39795644,6.0397492,1.88596496,5.599999905,-6.56
1991,4.23496397,4.91534648,-0.1082648,6.800000191,26.31
1992,3.02881968,3.88423804,3.52244053,7.5,4.46
1993,2.95165697,3.54561724,2.75178105,6.900000095,7.06
1994,2.60744159,4.89830995,4.02879326,6.119999886,-1.54
1995,2.80541969,6.59399638,2.68421727,5.650000095,34.11
1996,2.9312042,6.32407371,3.7725655,5.449999809,20.26
1997,2.33768994,6.60336486,4.44717495,5,31.01
1998,1.5522791,7.14817845,4.48139443,4.510000229,26.67
1999,2.1880272,6.49342642,4.79449905,4.21999979,19.53
2000,3.37685727,6.81342429,4.07715948,3.99000001,-10.14
2001,2.82617112,4.56584793,0.95433873,4.730000019,-13.04
2002,1.58603163,3.06864285,1.69594292,5.78000021,-23.37
2003,2.27009497,2.10731081,2.7962091,5.989999771,26.38
2004,2.67723669,1.61231095,3.8525526,5.53000021,8.99
2005,3.39274685,2.96050633,3.48322032,5.079999924,3
2006,3.2259441,4.72608965,2.78281063,4.619999886,13.62
2007,2.85267248,5.20675938,2.01050755,4.619999886,3.53
2008,3.8391003,3.10992083,0.12218844,5.78000021,-38.49
2009,-0.3555463,2.59242897,-2.5998884,9.25,23.45
2010,1.64004344,2.02388549,2.70885669,9.630000114,12.78
2011,3.15684157,1.14842519,1.54989495,8.949999809,0
2012,2.06933727,1.3540752,2.2806876,8.069999695,13.41
2013,1.46483266,1.47325428,1.8418754,7.369999886,29.6
2014,1.62222298,1.35477579,2.28777593,6.170000076,11.39
2015,0.11862714,2.2370755,2.70636958,5.28000021,-0.73
2016,1.26158321,2.48453034,1.66747208,4.869999886,9.54
2017,2.13011,2.15786986,2.25568048,4.360000134,19.42
2018,2.4425833,2.45647043,2.9188569,3.900000095,-6.24
2019,1.81221008,3.43238882,2.28886987,3.670000076,28.88
2020,1.2335844,2.31107807,-3.4045897,8.050000191,16.26
2021,4.69785886,-0.8692492,5.67110719,5.349999905,26.89